combo,macro-accuracy,macro-F1,macro-recall,macro-precision,roc-auc
mentalroberta__lora-finetune,0.7145118733509236,0.7056422661452266,0.7096269655403145,0.7323067949823143,0.7832692093230735
roberta__lora-finetune,0.7071240105540897,0.691745390620401,0.7014692762350843,0.7368597460373386,0.7771133043381288
mentalbert__lora-finetune,0.6817941952506595,0.6639909180530913,0.6750947920151666,0.7121083903566501,0.746935987509758
bert__embed+logreg,0.6532981530343008,0.6242927390416197,0.6452603992416639,0.6924627728055326,0.735371361659418
bert__tfidf+base+logreg,0.6490765171503959,0.6129317071922181,0.6404538864726218,0.7014671555207854,0.7191842310694769
bert__lora-finetune,0.5736147757255937,0.48307194399299574,0.5603183896509424,0.6781839504792837,0.6488262518122003
mentalbert__tfidf+base+logreg,0.5361477572559366,0.3931614975400291,0.5201433032229286,0.6768071847513498,0.512953050072488
mentalroberta__tfidf+base+logreg,0.5282321899736149,0.37213392515057464,0.5119103379056541,0.5017147593198189,0.48436210549793685
roberta__tfidf+base+logreg,0.5245382585751979,0.3632330759459149,0.507940225270436,0.4126739866751389,0.5086400133824022
mentalbert__embed+logreg,0.524538258575198,0.36174072349890884,0.507831493253039,0.5891525703984565,0.45670235307237644
mentalroberta__embed+logreg,0.5224274406332453,0.356785919308218,0.5056457009033122,0.41003768071698027,0.4593119214899074
roberta__embed+logreg,0.5197889182058046,0.3468530436404253,0.5027322404371585,0.4592621682284017,0.4873341139734582
