combo,outer_fold,best_params,best_threshold,macro-accuracy,macro-F1,macro-recall,macro-precision,roc-auc
mentalroberta__lora-finetune,1,"{""lr"": 0.0002, ""rank"": 16, ""dropout"": 0.0}",0.4614243805408478,0.7018469656992085,0.686444338690193,0.6950624512099922,0.7339653558052435,0.7932418869187019
mentalroberta__lora-finetune,2,"{""lr"": 0.0002, ""rank"": 16, ""dropout"": 0.1}",0.4505884051322937,0.7176781002638523,0.7138209660915282,0.7145366343258615,0.7230176211453745,0.7796225047396008
mentalroberta__lora-finetune,3,"{""lr"": 0.0002, ""rank"": 16, ""dropout"": 0.0}",0.4435344934463501,0.7229551451187335,0.7176397965048213,0.7190950150552025,0.7322251773049646,0.8019404483104717
mentalroberta__lora-finetune,4,"{""lr"": 0.0001, ""rank"": 8, ""dropout"": 0.0}",0.4814581871032715,0.6701846965699209,0.6522808176446842,0.6631816661090666,0.697803311929706,0.7424166387866622
mentalroberta__lora-finetune,5,"{""lr"": 0.0002, ""rank"": 8, ""dropout"": 0.0}",0.3559107482433319,0.6939313984168866,0.6785129285129285,0.6872281699565073,0.7234180584203873,0.7693208430913349
roberta__lora-finetune,1,"{""lr"": 0.0002, ""rank"": 16, ""dropout"": 0.1}",0.44800853729248047,0.6701846965699209,0.6421962916808277,0.6613694658191145,0.7225297962322184,0.7847942455670793
roberta__lora-finetune,2,"{""lr"": 0.0002, ""rank"": 8, ""dropout"": 0.0}",0.5979894995689392,0.7519788918205804,0.7519771651350599,0.7527740604438496,0.7526895206243032,0.7887671462027435
roberta__lora-finetune,3,"{""lr"": 0.0002, ""rank"": 8, ""dropout"": 0.1}",0.4671866297721863,0.712401055408971,0.7073068775196435,0.7087097133935542,0.7200599682521018,0.7730288836846215
roberta__lora-finetune,4,"{""lr"": 0.0002, ""rank"": 8, ""dropout"": 0.1}",0.4155159294605255,0.7150395778364116,0.7064038560853847,0.709992193598751,0.7318394484117212,0.7761235641797702
roberta__lora-finetune,5,"{""lr"": 0.0002, ""rank"": 16, ""dropout"": 0.0}",0.34363704919815063,0.7440633245382586,0.7350242538254733,0.7385970781755324,0.7684610075914424,0.802609568417531
